,name,date,platform,score,url,userscore
5477,Psikyo Shooting Stars Bravo,"February 18, 2020",Switch,67,/game/switch/psikyo-shooting-stars-bravo,tbd
5478,Samurai Jack: Battle Through Time,"August 21, 2020",PlayStation 4,67,/game/playstation-4/samurai-jack-battle-through-time,7.8
5479,Othercide,"July 28, 2020",Xbox One,67,/game/xbox-one/othercide,8.3
5480,Disintegration,"June 16, 2020",Xbox One,67,/game/xbox-one/disintegration,6.6
5481,The Dark Crystal: Age of Resistance Tactics,"February 4, 2020",PC,67,/game/pc/the-dark-crystal-age-of-resistance-tactics,6.1
5482,Potata: Fairy Flower,"June 6, 2020",Switch,66,/game/switch/potata-fairy-flower,7.6
5483,Urban Trial Tricky,"June 25, 2020",Switch,66,/game/switch/urban-trial-tricky,7.8
5484,EQQO,"February 7, 2020",Switch,66,/game/switch/eqqo,6.2
5485,Peaky Blinders: Mastermind,"August 20, 2020",Switch,66,/game/switch/peaky-blinders-mastermind,tbd
5486,Hotel Sowls,"July 30, 2020",Switch,66,/game/switch/hotel-sowls,tbd
5487,Darius Cozmic Collection: Console,"June 16, 2020",Switch,66,/game/switch/darius-cozmic-collection-console,tbd
5488,Night Call,"June 24, 2020",Switch,66,/game/switch/night-call,tbd
5489,Kingdom Hearts III - Re Mind,"January 23, 2020",PlayStation 4,66,/game/playstation-4/kingdom-hearts-iii---re-mind,6.1
5490,Crysis Remastered,"July 23, 2020",Switch,66,/game/switch/crysis-remastered,8.2
5491,Close to the Sun,"May 5, 2020",PC,66,/game/pc/close-to-the-sun,5.0
5492,Skully,"August 4, 2020",Xbox One,66,/game/xbox-one/skully,tbd
5493,Vader Immortal: A Star Wars VR Series,"August 25, 2020",PlayStation 4,66,/game/playstation-4/vader-immortal-a-star-wars-vr-series,4.4
5494,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,"June 23, 2020",Switch,66,/game/switch/spongebob-squarepants-battle-for-bikini-bottom---rehydrated,8.6
5495,Mafia II: Definitive Edition,"May 19, 2020",Xbox One,66,/game/xbox-one/mafia-ii-definitive-edition,7.1
5496,Bleeding Edge,"March 24, 2020",Xbox One,66,/game/xbox-one/bleeding-edge,6.2
5497,Ever Forward,"August 13, 2020",PC,66,/game/pc/ever-forward,7.3
5498,Someday You'll Return,"May 5, 2020",PC,66,/game/pc/someday-youll-return,8.1
5499,The Outer Worlds,"June 5, 2020",Switch,66,/game/switch/the-outer-worlds,5.0
5500,Ash of Gods: Redemption,"January 31, 2020",PlayStation 4,65,/game/playstation-4/ash-of-gods-redemption,7.4
5501,Battletoads,"August 20, 2020",PC,65,/game/pc/battletoads,5.1
5502,My Hero One's Justice 2,"March 13, 2020",Xbox One,65,/game/xbox-one/my-hero-ones-justice-2,4.9
5503,WWE 2K Battlegrounds,"September 18, 2020",PlayStation 4,65,/game/playstation-4/wwe-2k-battlegrounds,5.0
5504,Windbound,"August 28, 2020",Xbox One,65,/game/xbox-one/windbound,6.2
